0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Prijs,€ 589.000,Adres,"Peperstraat 14, 9300 Aalst",Type,Huis,Woonopp.,257 m²,Grondopp.,200 m²,Slaapkamers,3,Badkamers,2,Tuin,NW,Bebouwing,gesloten,Bouwjaar,1994,EPC,160 kWh/m²,Renovatieplicht,Niet van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIJ84,Days: 64,,,,,,,,
Prijs,€ 345.000,Adres,"Binnenstraat 33 / 2, 9300 Aalst",Type,Appartement,Woonopp.,175 m²,Slaapkamers,3,Badkamers,1,Bouwjaar,op aanvraag »,EPC,90 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIJ36,Days: 41,,,,,,,,,,,,,,,,
Prijs,€ 239.000,Adres,"Binnenstraat 300, 9300 Aalst",Type,Handelsgelijkvloers (Bedrijfsvastgoed),Woonopp.,op aanvraag »,Grondopp.,854 m²,Handelsopp.,125 m²,Bebouwing,halfopen,Bouwjaar,2009,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,KI,€ 1.039,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/aalst-9300/te-koop/bedrijfsvastgoed/KIIF4,Days: 14,,,,,,,,,,
Prijs,€ 175.000,Adres,"Termurenlaan 12, 9320 Erembodegem",Type,Handelspand (Bedrijfsvastgoed),Woonopp.,100 m²,Grondopp.,op aanvraag »,Handelsopp.,100 m²,Bebouwing,op aanvraag »,Bouwjaar,2011,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,Vrij op,overeen te komen,https://www.zimmo.be/nl/erembodegem-9320/te-koop/bedrijfsvastgoed/KIGYW,Days: 29,,,,,,,,,,,,
Prijs,€ 290.000,Adres,"Sinte-Annalaan 194, 9300 Aalst",Type,Bel-étage (Huis),Woonopp.,293 m²,Grondopp.,168 m²,Slaapkamers,3,Badkamers,1,Garages,1,Tuin,W,Bebouwing,gesloten,Bouwjaar,1953,EPC,802 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.455,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIGKM,Days: 75,,,,,,
Prijs,€ 279.000,Adres,"Nieuwbeekstraat 1 / 403, 9300 Aalst",Type,Woning (Huis),Woonopp.,73 m²,Grondopp.,73 m²,Slaapkamers,1,Badkamers,1,Bebouwing,gesloten,Bouwjaar,2021,EPC,108 kWh/m²,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIGKJ,Days: 27,,,,,,,,,,,,
Prijs,€ 179.995,Adres,"Koolstraat 123, 9300 Aalst",Type,Appartement,Woonopp.,184 m²,Slaapkamers,2,Badkamers,1,Bouwjaar,1973,EPC,0 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 1.879,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIGKG,Days: 46,,,,,,,,,,,,,,
Prijs,€ 189.000,Adres,"Kerkskendorp 39, 9300 Aalst",Type,Appartement,Woonopp.,129 m²,Slaapkamers,2,Badkamers,1,Garages,1,Bouwjaar,1994,EPC,270 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 840,Vrij op,overeen te komen,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIGK9,Days: 32,,,,,,,,,,
Prijs,€ 318.000,Adres,"Bergstraat 12, 9320 Nieuwerkerken",Type,Eengezinswoning (Huis),Woonopp.,279 m²,Grondopp.,510 m²,Slaapkamers,4,Badkamers,1,Bebouwing,halfopen,Bouwjaar,op aanvraag »,EPC,424 kWh/m²,Renovatieplicht,Van toepassing,Vrij op,bij akte na betaling,https://www.zimmo.be/nl/nieuwerkerken-9320/te-koop/huis/JPCRC,Days: 71,,,,,,,,,,
Prijs,€ 289.000,Adres,"Straat niet gekend,",9300 Aalst,Type,Woning (Huis),Woonopp.,124 m²,Grondopp.,110 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,268 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 299,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIGEM,Days: 133,,,,,,,,,
Prijs,€ 279.500,Adres,"Kapittelstraat 64, 9310 Moorsel",Type,Woning (Huis),Woonopp.,154 m²,Grondopp.,239 m²,Slaapkamers,4,Badkamers,1,Bebouwing,op aanvraag »,Bouwjaar,op aanvraag »,EPC,610 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 741,https://www.zimmo.be/nl/moorsel-9310/te-koop/huis/KIFZK,Days: 115,,,,,,,,,,
Prijs,€ 350.000,Adres,"Hyacinthenstraat 45, 9300 Aalst",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,642 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,open,Bouwjaar,1958,EPC,781 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 721,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIFY4,Days: 293,,,,
Prijs,€ 315.000,Adres,"Boudewijnlaan 199 / a, 9300 Aalst",Type,Woning (Huis),Woonopp.,138 m²,Grondopp.,128 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,2020,EPC,122 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 787,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIFY2,Days: 114,,,,,,
Prijs,€ 175.000,Adres,"Nestor De Tièrestraat 7, 9300 Aalst",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,70 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,322 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 361,Vrij op,bij akte na betaling,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIFY3,Days: 146,,,,,,
Prijs,€ 539.000,Adres,"Straat niet gekend,",9300 Aalst,Type,Appartement,Woonopp.,"127,50 m²",Slaapkamers,2,Badkamers,1,Bouwjaar,2021,EPC,32 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.398,Virtueel bezoek,Klik hier,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIFKF,Days: 108,,,,,,,,,,,
Prijs,€ 264.000,Adres,"Ledebaan 248, 9300 Aalst",Type,Woning (Huis),Woonopp.,op aanvraag »,Grondopp.,390 m²,Slaapkamers,3,Badkamers,1,Bebouwing,gesloten,Bouwjaar,1955,EPC,421 kWh/m²,Renovatieplicht,Van toepassing,KI,€ 508,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIFFU,Days: 108,,,,,,,,,,
Prijs,€ 319.500,Adres,"Gentsesteenweg 224, 9300 Aalst",Type,Woning (Huis),Woonopp.,153 m²,Grondopp.,200 m²,Slaapkamers,3,Badkamers,1,Garages,1,Bebouwing,gesloten,Bouwjaar,op aanvraag »,EPC,227 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 438,https://www.zimmo.be/nl/aalst-9300/te-koop/huis/KIF38,Days: 126,,,,,,,,
Prijs,€ 549.000,Adres,"Kareelstraat 12 / 8, 9300 Aalst",Type,Appartement,Woonopp.,180 m²,Slaapkamers,4,Badkamers,1,Garages,1,Bouwjaar,2000,EPC,123 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.199,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIEZ7,Days: 90,,,,,,,,,,,,
Prijs,€ 549.000,Adres,"Kareelstraat 12 / 8, 9300 Aalst",Type,Penthouse (Appartement),Woonopp.,180 m²,Slaapkamers,4,Badkamers,1,Garages,1,Bouwjaar,2000,EPC,123 kWh/m²,Renovatieplicht,Niet van toepassing,KI,€ 1.199,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIEZ4,Days: 62,,,,,,,,,,,,
Prijs,€ 354.500,Adres,"Erembodegemstraat 4 / B0.2, 9300 Aalst",Type,Appartement,Woonopp.,"106,40 m²",Slaapkamers,3,Bouwjaar,op aanvraag »,EPC,In aanvraag,Renovatieplicht,Niet van toepassing,https://www.zimmo.be/nl/aalst-9300/te-koop/appartement/KIEZ5,Days: 34,,,,,,,,,,,,,,,,,,
